Start Time,End Time,Book,Page #,Song / Activity,BPM,Notes,Duration in Minutes,Day Grouper,Week Grouper
10/9/2024 22:03:29,10/9/2024 22:21:15,Exercises,,Warmup + Scales,90,,17.8,10/9/2024,10/7/2024
10/9/2024 22:21:15,10/9/2024 22:24:39,Exercises,,Chromatic Scale,70,,3.4,10/9/2024,10/7/2024
10/9/2024 22:24:39,10/9/2024 22:28:41,Exercises,,Arpeggio,70,,4.0,10/9/2024,10/7/2024
10/9/2024 22:28:41,10/9/2024 22:31:50,Exercises,,Triads,50,,3.2,10/9/2024,10/7/2024
10/9/2024 22:46:15,10/9/2024 22:49:17,A Dozen a Day - Book 2,,Group 1 - 1,100,,3.0,10/9/2024,10/7/2024
10/9/2024 22:49:19,10/9/2024 22:51:57,A Dozen a Day - Book 2,,Group 1 - 2,60,,2.6,10/9/2024,10/7/2024
10/9/2024 22:51:59,10/9/2024 22:53:56,A Dozen a Day - Book 2,,Group 1 - 3,70,,2.0,10/9/2024,10/7/2024
10/9/2024 22:53:56,10/9/2024 22:56:21,A Dozen a Day - Book 2,,Group 1 - 4,70,,2.4,10/9/2024,10/7/2024
10/9/2024 22:56:21,10/9/2024 23:01:04,A Dozen a Day - Book 2,,Group 1 - 5,70,,4.7,10/9/2024,10/7/2024
10/9/2024 23:01:25,10/9/2024 23:07:56,A Dozen a Day - Book 2,,Group 1 - 6,70,,6.5,10/9/2024,10/7/2024
10/9/2024 23:07:56,10/9/2024 23:22:10,Jazzin America,,Bird In the Bebop,80,,14.2,10/9/2024,10/7/2024
10/9/2024 23:22:12,10/9/2024 23:34:25,Easy Piano Classics,,Ballade,125,,12.2,10/9/2024,10/7/2024
10/11/2024 8:25:06,10/11/2024 8:33:14,Exercises,,Warmup + Scales,100,,8.1,10/11/2024,10/7/2024
10/11/2024 8:33:14,10/11/2024 8:36:10,Exercises,,Chromatic Scale,75,,2.9,10/11/2024,10/7/2024
10/11/2024 8:36:12,10/11/2024 8:41:17,Exercises,,Arpeggio,75,,5.1,10/11/2024,10/7/2024
10/11/2024 8:41:20,10/11/2024 8:45:52,Exercises,,Triads,50,,4.5,10/11/2024,10/7/2024
10/11/2024 8:45:52,10/11/2024 8:47:58,A Dozen a Day - Book 2,,Group 1 - 1,100,,2.1,10/11/2024,10/7/2024
10/11/2024 8:48:01,10/11/2024 8:52:05,A Dozen a Day - Book 2,,Group 1 - 2,65,,4.1,10/11/2024,10/7/2024
10/11/2024 8:52:05,10/11/2024 8:54:19,A Dozen a Day - Book 2,,Group 1 - 3,75,,2.2,10/11/2024,10/7/2024
10/11/2024 8:54:19,10/11/2024 8:56:29,A Dozen a Day - Book 2,,Group 1 - 4,75,,2.2,10/11/2024,10/7/2024
10/11/2024 8:56:48,10/11/2024 8:59:02,A Dozen a Day - Book 2,,Group 1 - 5,75,,2.2,10/11/2024,10/7/2024
10/11/2024 8:59:02,10/11/2024 9:03:51,A Dozen a Day - Book 2,,Group 1 - 6,75,,4.8,10/11/2024,10/7/2024
10/12/2024 15:51:37,10/12/2024 16:01:52,Exercises,,Warmup + Scales,100,,10.3,10/12/2024,10/7/2024
10/12/2024 16:01:52,10/12/2024 16:05:43,Exercises,,Chromatic Scale,75,,3.8,10/12/2024,10/7/2024
10/12/2024 16:05:43,10/12/2024 16:10:07,Exercises,,Arpeggio,75,,4.4,10/12/2024,10/7/2024
10/12/2024 16:10:07,10/12/2024 16:13:38,Exercises,,Triads,55,,3.5,10/12/2024,10/7/2024
10/12/2024 16:13:38,10/12/2024 16:15:26,A Dozen a Day - Book 2,,Group 1 - 1,105,,1.8,10/12/2024,10/7/2024
10/12/2024 16:15:26,10/12/2024 16:17:51,A Dozen a Day - Book 2,,Group 1 - 2,60,,2.4,10/12/2024,10/7/2024
